supplier_id,timestamp,category,supplier_program,scope3_emissions,region,market_conditions,energy_mix,supplier_size,baseline_emissions,emission_factor,confidence_score
SUP-0000,2024-04-12,Cat6_Business_Travel,0,-9.2,LATAM,0.92,0.29,small,220.0,0.255,0.78
SUP-0001,2024-11-04,Cat1_Purchased_Goods,1,-138.0,EMEA,0.53,0.29,large,961.0,2.5,0.93
SUP-0002,2025-07-14,Cat1_Purchased_Goods,0,4.2,APAC,0.48,0.27,medium,733.0,2.5,0.78
SUP-0003,2024-06-15,Cat4_Transport,1,-138.1,EU,0.58,0.45,large,1225.0,0.12,0.87
SUP-0004,2025-03-03,Cat11_Use_of_Products,0,-20.9,APAC,0.42,0.28,small,523.0,1.8,0.73
SUP-0005,2024-09-27,Cat1_Purchased_Goods,0,-1.3,EU,0.45,0.26,small,532.0,2.5,0.82
SUP-0006,2024-07-06,Cat11_Use_of_Products,0,13.4,APAC,0.69,0.37,small,298.0,1.8,0.79
SUP-0007,2024-02-10,Cat4_Transport,1,-98.7,EMEA,0.56,0.26,large,1006.0,0.12,0.98
SUP-0008,2025-12-26,Cat1_Purchased_Goods,0,9.1,EMEA,0.72,0.53,medium,846.0,2.5,0.59
SUP-0009,2025-07-07,Cat11_Use_of_Products,0,6.9,NA,0.95,0.23,small,523.0,1.8,0.6
SUP-0010,2025-10-16,Cat1_Purchased_Goods,0,5.8,LATAM,0.52,0.41,small,279.0,2.5,0.77
SUP-0011,2024-12-13,Cat1_Purchased_Goods,1,-138.0,NA,0.4,0.23,large,1126.0,2.5,0.98
SUP-0012,2024-08-12,Cat11_Use_of_Products,0,24.2,EU,0.3,0.34,medium,732.0,1.8,0.69
SUP-0013,2025-09-16,Cat11_Use_of_Products,0,20.0,EMEA,0.53,0.34,small,396.0,1.8,0.76
SUP-0014,2024-02-22,Cat1_Purchased_Goods,1,-107.7,APAC,0.71,0.34,large,1271.0,2.5,0.98
SUP-0015,2025-05-25,Cat1_Purchased_Goods,1,-161.5,EU,0.86,0.55,large,1309.0,2.5,0.79
SUP-0016,2025-12-11,Cat1_Purchased_Goods,0,-8.6,EU,0.55,0.55,medium,583.0,2.5,0.81
SUP-0017,2024-01-02,Cat4_Transport,1,-110.9,EMEA,0.58,0.37,large,1481.0,0.12,0.98
SUP-0018,2025-02-07,Cat4_Transport,1,-123.3,EMEA,0.73,0.37,large,1134.0,0.12,0.78
SUP-0019,2024-06-09,Cat1_Purchased_Goods,0,12.4,EU,0.8,0.36,medium,798.0,2.5,0.74
SUP-0020,2025-04-14,Cat11_Use_of_Products,0,9.3,NA,0.56,0.5,small,532.0,1.8,0.74
SUP-0021,2025-03-28,Cat4_Transport,1,-89.5,EU,0.6,0.47,medium,1108.0,0.12,0.84
SUP-0022,2024-02-06,Cat11_Use_of_Products,1,-51.4,EMEA,0.37,0.3,medium,573.0,1.8,0.89
