supplier_id,supplier_region,supplier_tier,operational_maturity,inventory_days,climate_stress_index,disruption_risk_percent
SUP-0000,APAC,Tier 3,54.7,8.4,8.55,39.87
SUP-0001,EMEA,Tier 1,85.2,75.1,2.86,0.0
SUP-0002,NAM,Tier 1,73.6,16.3,0.17,0.0
SUP-0003,NAM,Tier 2,32.1,14.1,6.93,17.3
SUP-0004,NAM,Tier 2,46.8,23.7,4.22,0.42
SUP-0005,NAM,Tier 3,59.2,16.6,3.97,0.0
SUP-0006,NAM,Tier 3,57.3,12.5,1.56,7.28
SUP-0007,NAM,Tier 3,62.9,34.8,5.48,9.18
SUP-0008,NAM,Tier 1,68.3,14.8,3.4,0.0
SUP-0009,APAC,Tier 2,46.9,20.6,6.15,14.79
SUP-0010,NAM,Tier 3,34.8,5.1,5.22,21.12
SUP-0011,EMEA,Tier 3,58.3,6.5,2.12,0.0
SUP-0012,LATAM,Tier 3,37.8,12.4,4.63,24.33
SUP-0013,EMEA,Tier 3,31.5,17.8,4.52,10.07
SUP-0014,EMEA,Tier 3,44.5,19.8,6.93,17.88
SUP-0015,NAM,Tier 1,69.1,25.2,4.18,0.0
SUP-0016,LATAM,Tier 2,77.2,10.2,3.96,0.0
SUP-0017,NAM,Tier 3,38.6,38.0,5.83,18.76
SUP-0018,EMEA,Tier 1,71.5,37.9,5.74,0.0
SUP-0019,NAM,Tier 2,65.1,16.1,4.59,1.23
SUP-0020,NAM,Tier 2,33.8,7.6,3.16,7.39
SUP-0021,APAC,Tier 2,52.5,29.3,6.02,13.43
SUP-0022,LATAM,Tier 2,26.2,11.7,4.95,17.8
SUP-0023,APAC,Tier 1,63.5,11.5,5.12,2.33
SUP-0024,NAM,Tier 2,72.1,10.4,5.5,0.0
SUP-0025,EMEA,Tier 3,65.8,20.3,1.82,0.0
SUP-0026,NAM,Tier 3,21.7,25.7,4.14,17.64
SUP-0027,APAC,Tier 3,31.3,8.0,3.93,16.36
SUP-0028,LATAM,Tier 3,57.2,39.0,2.54,5.54
SUP-0029,NAM,Tier 1,100.0,50.5,4.52,0.0
SUP-0030,APAC,Tier 2,62.8,48.6,6.09,13.26
SUP-0031,NAM,Tier 1,88.3,50.8,4.59,0.0
SUP-0032,NAM,Tier 1,98.0,26.1,4.95,0.0
SUP-0033,NAM,Tier 2,40.7,32.4,5.93,12.89
SUP-0034,EMEA,Tier 3,41.3,11.2,2.29,5.58
SUP-0035,EMEA,Tier 3,41.4,19.0,3.27,18.29
SUP-0036,NAM,Tier 3,28.9,61.4,4.96,14.58
SUP-0037,LATAM,Tier 3,56.1,43.3,3.31,0.0
SUP-0038,LATAM,Tier 2,58.2,60.0,2.51,0.0
SUP-0039,NAM,Tier 3,71.4,97.2,4.12,0.0
SUP-0040,LATAM,Tier 3,61.2,13.9,7.11,29.95
SUP-0041,EMEA,Tier 3,35.9,53.9,4.83,30.66
SUP-0042,EMEA,Tier 3,59.3,49.1,5.1,0.0
SUP-0043,NAM,Tier 3,22.5,5.7,8.63,28.43
SUP-0044,APAC,Tier 3,37.9,7.7,7.68,46.21
SUP-0045,NAM,Tier 3,46.9,6.8,4.09,5.8
SUP-0046,APAC,Tier 3,20.0,36.7,5.87,28.37
SUP-0047,NAM,Tier 1,45.0,70.7,5.01,3.94
SUP-0048,APAC,Tier 1,62.9,20.9,4.19,1.85
SUP-0049,APAC,Tier 3,64.0,31.8,9.74,45.97
SUP-0050,APAC,Tier 2,74.0,5.3,4.08,0.0
SUP-0051,NAM,Tier 2,83.1,17.8,3.49,0.0
SUP-0052,APAC,Tier 3,38.4,14.4,5.76,26.32
SUP-0053,LATAM,Tier 3,80.2,8.6,5.4,7.57
SUP-0054,NAM,Tier 3,46.7,14.8,5.32,10.88
SUP-0055,APAC,Tier 3,76.7,14.8,6.06,13.19
SUP-0056,NAM,Tier 2,46.2,7.5,5.7,15.32
SUP-0057,LATAM,Tier 3,66.8,37.5,3.34,0.0
SUP-0058,EMEA,Tier 3,44.7,14.3,4.03,4.18
SUP-0059,LATAM,Tier 3,62.4,16.2,6.65,26.29
SUP-0060,NAM,Tier 3,64.6,12.7,4.04,1.62
SUP-0061,NAM,Tier 3,57.8,6.9,4.65,7.73
SUP-0062,LATAM,Tier 3,32.7,11.9,9.18,52.1
SUP-0063,EMEA,Tier 3,27.1,36.2,3.78,5.58
SUP-0064,NAM,Tier 2,69.6,13.6,3.71,0.0
SUP-0065,NAM,Tier 1,90.4,29.1,3.06,0.0
SUP-0066,NAM,Tier 3,23.3,38.5,1.19,0.0
SUP-0067,NAM,Tier 3,65.4,21.3,5.72,8.78
SUP-0068,NAM,Tier 2,54.7,6.2,3.42,6.33
SUP-0069,APAC,Tier 3,56.6,14.4,6.88,25.26
SUP-0070,NAM,Tier 3,48.4,6.5,4.03,10.72
SUP-0071,APAC,Tier 3,45.8,28.8,9.81,42.98
SUP-0072,APAC,Tier 3,77.8,11.5,3.88,2.49
SUP-0073,APAC,Tier 3,24.7,6.6,6.18,42.97
SUP-0074,APAC,Tier 3,31.5,53.4,6.48,33.87
SUP-0075,APAC,Tier 3,67.1,45.2,7.86,25.61
SUP-0076,LATAM,Tier 1,44.3,75.1,7.71,12.24
SUP-0077,APAC,Tier 2,59.2,11.4,5.51,11.25
SUP-0078,EMEA,Tier 3,38.2,17.0,5.05,6.82
SUP-0079,EMEA,Tier 3,53.0,13.9,4.46,3.23
SUP-0080,APAC,Tier 3,62.7,21.1,5.64,22.5
SUP-0081,APAC,Tier 1,72.5,5.6,6.79,11.11
SUP-0082,EMEA,Tier 2,70.9,15.0,0.28,0.0
SUP-0083,APAC,Tier 2,52.9,35.6,8.76,19.02
SUP-0084,LATAM,Tier 3,20.0,17.3,4.89,24.74
SUP-0085,APAC,Tier 3,51.0,10.5,6.23,20.79
SUP-0086,NAM,Tier 2,54.1,27.0,5.91,4.86
SUP-0087,NAM,Tier 1,62.9,11.5,3.79,0.0
SUP-0088,NAM,Tier 2,84.5,5.8,4.07,0.0
SUP-0089,NAM,Tier 3,63.1,55.7,3.78,0.0
SUP-0090,EMEA,Tier 3,37.0,14.3,2.65,15.57
SUP-0091,APAC,Tier 2,50.3,32.5,6.65,18.75
SUP-0092,APAC,Tier 2,53.1,20.2,3.59,0.0
SUP-0093,APAC,Tier 1,56.4,12.8,4.21,0.0
SUP-0094,NAM,Tier 3,70.3,36.1,5.76,3.01
SUP-0095,APAC,Tier 3,45.0,32.4,3.43,7.75
SUP-0096,APAC,Tier 2,68.9,13.8,9.32,25.49
SUP-0097,NAM,Tier 1,71.9,8.3,2.7,0.0
SUP-0098,NAM,Tier 2,55.7,15.6,2.34,0.0
SUP-0099,LATAM,Tier 3,43.7,11.0,6.0,19.79
SUP-0100,LATAM,Tier 3,20.0,34.3,6.09,27.58
SUP-0101,APAC,Tier 2,40.0,10.6,6.02,14.69
SUP-0102,APAC,Tier 3,44.0,20.2,3.08,7.01
SUP-0103,NAM,Tier 1,63.9,97.0,6.01,0.0
SUP-0104,APAC,Tier 3,52.9,17.8,8.38,28.16
SUP-0105,LATAM,Tier 3,29.5,72.1,5.74,21.43
SUP-0106,LATAM,Tier 1,71.3,22.1,4.69,0.0
SUP-0107,EMEA,Tier 2,56.7,8.6,4.59,0.24
SUP-0108,EMEA,Tier 2,68.1,15.0,3.15,0.0
SUP-0109,APAC,Tier 2,74.5,12.2,5.54,14.83
SUP-0110,NAM,Tier 3,57.4,52.4,0.0,0.0
SUP-0111,LATAM,Tier 3,49.3,13.2,5.68,18.83
SUP-0112,EMEA,Tier 2,57.7,8.3,4.3,0.0
SUP-0113,EMEA,Tier 1,57.7,21.9,4.76,0.0
SUP-0114,APAC,Tier 3,41.0,36.9,3.54,8.22
SUP-0115,EMEA,Tier 3,36.7,25.5,4.63,20.96
SUP-0116,APAC,Tier 2,28.3,17.4,8.49,34.27
SUP-0117,EMEA,Tier 1,100.0,46.1,4.02,0.0
SUP-0118,EMEA,Tier 3,33.1,22.2,4.74,6.7
SUP-0119,EMEA,Tier 3,73.3,57.0,1.82,0.0
SUP-0120,LATAM,Tier 3,45.8,22.9,7.19,26.76
SUP-0121,APAC,Tier 3,43.0,5.1,3.48,3.83
SUP-0122,APAC,Tier 3,25.7,31.8,2.91,3.93
SUP-0123,APAC,Tier 1,66.1,8.9,0.11,0.0
SUP-0124,LATAM,Tier 2,82.7,5.3,7.25,6.2
SUP-0125,LATAM,Tier 1,77.8,15.7,10.0,10.73
SUP-0126,NAM,Tier 3,48.0,9.6,3.71,19.46
SUP-0127,NAM,Tier 3,28.4,17.1,0.0,0.0
SUP-0128,APAC,Tier 3,39.9,44.6,4.76,16.87
SUP-0129,APAC,Tier 3,52.9,15.5,7.37,37.55
SUP-0130,NAM,Tier 2,65.8,5.4,1.74,0.0
SUP-0131,NAM,Tier 3,43.0,10.4,3.52,5.21
SUP-0132,EMEA,Tier 3,39.6,27.1,6.12,13.91
SUP-0133,LATAM,Tier 1,55.9,6.8,5.65,0.0
SUP-0134,APAC,Tier 3,37.2,11.0,7.6,44.33
SUP-0135,APAC,Tier 3,20.0,15.5,1.34,13.45
SUP-0136,APAC,Tier 3,36.8,45.6,6.3,32.57
SUP-0137,EMEA,Tier 2,54.5,5.5,4.42,0.0
SUP-0138,EMEA,Tier 2,57.6,88.2,3.43,0.0
SUP-0139,APAC,Tier 1,71.5,54.1,5.89,0.0
SUP-0140,APAC,Tier 3,60.4,9.6,6.45,32.14
SUP-0141,EMEA,Tier 1,93.6,54.2,0.12,0.0
SUP-0142,APAC,Tier 1,77.8,6.7,4.05,0.0
SUP-0143,APAC,Tier 2,63.7,13.8,3.55,5.63
SUP-0144,APAC,Tier 2,62.4,31.4,5.87,13.08
SUP-0145,NAM,Tier 2,32.2,23.2,6.3,11.8
SUP-0146,NAM,Tier 1,69.5,28.3,7.54,0.0
SUP-0147,EMEA,Tier 3,39.0,28.7,5.04,4.66
SUP-0148,APAC,Tier 1,68.9,9.1,6.74,10.06
SUP-0149,EMEA,Tier 3,46.8,26.5,5.47,14.49
SUP-0150,NAM,Tier 2,61.4,9.0,4.42,5.26
SUP-0151,NAM,Tier 3,47.0,12.1,3.92,11.0
SUP-0152,LATAM,Tier 3,59.1,5.8,3.97,2.08
SUP-0153,NAM,Tier 1,77.5,28.8,6.51,0.0
SUP-0154,NAM,Tier 2,76.7,12.7,4.39,0.42
SUP-0155,EMEA,Tier 2,59.2,5.5,3.96,5.2
SUP-0156,LATAM,Tier 3,37.2,18.1,7.82,40.89
SUP-0157,LATAM,Tier 3,49.7,15.8,8.16,32.09
SUP-0158,NAM,Tier 1,49.8,12.0,2.16,0.0
SUP-0159,EMEA,Tier 2,36.9,64.9,5.77,8.05
SUP-0160,LATAM,Tier 2,38.2,99.6,5.76,19.93
SUP-0161,APAC,Tier 2,79.3,8.9,4.25,0.0
SUP-0162,EMEA,Tier 2,76.3,28.8,2.66,0.0
SUP-0163,NAM,Tier 2,49.4,20.4,7.1,22.25
SUP-0164,NAM,Tier 3,35.8,48.9,3.22,8.05
SUP-0165,APAC,Tier 1,86.3,15.5,2.74,0.0
SUP-0166,EMEA,Tier 2,47.2,43.1,4.25,0.0
SUP-0167,APAC,Tier 3,31.9,13.5,6.86,43.88
SUP-0168,APAC,Tier 3,53.9,43.0,7.72,33.21
SUP-0169,EMEA,Tier 3,55.7,27.8,6.56,17.52
SUP-0170,NAM,Tier 3,42.5,13.2,4.29,7.12
SUP-0171,EMEA,Tier 3,52.4,19.2,4.18,5.63
SUP-0172,EMEA,Tier 2,64.7,35.3,8.13,11.1
SUP-0173,APAC,Tier 3,39.0,13.4,6.72,32.6
SUP-0174,NAM,Tier 3,38.3,12.2,4.39,10.56
SUP-0175,APAC,Tier 2,57.6,24.4,4.38,6.97
SUP-0176,EMEA,Tier 1,93.5,28.0,3.67,0.0
SUP-0177,LATAM,Tier 2,48.9,17.0,5.88,11.53
SUP-0178,EMEA,Tier 2,58.7,26.3,2.67,0.0
SUP-0179,LATAM,Tier 2,37.8,25.4,1.95,0.0
SUP-0180,LATAM,Tier 2,51.4,9.8,5.7,13.66
SUP-0181,APAC,Tier 3,41.6,17.8,6.19,29.57
SUP-0182,EMEA,Tier 3,54.6,7.8,6.46,22.25
SUP-0183,APAC,Tier 1,77.4,7.7,4.15,3.02
SUP-0184,NAM,Tier 2,56.9,11.3,2.64,0.0
SUP-0185,APAC,Tier 1,84.9,6.5,4.6,0.0
SUP-0186,EMEA,Tier 2,66.8,35.3,4.65,0.0
SUP-0187,NAM,Tier 2,46.4,91.3,3.99,0.0
SUP-0188,EMEA,Tier 3,41.7,12.9,3.85,3.4
SUP-0189,APAC,Tier 1,70.6,6.6,3.5,0.0
SUP-0190,APAC,Tier 3,36.4,8.7,6.65,33.93
SUP-0191,EMEA,Tier 1,58.0,60.0,3.92,0.0
SUP-0192,EMEA,Tier 3,58.4,13.3,5.07,8.67
SUP-0193,EMEA,Tier 2,69.3,25.6,7.27,7.07
SUP-0194,NAM,Tier 1,60.2,46.1,3.03,0.0
SUP-0195,EMEA,Tier 3,37.1,18.8,7.26,25.8
SUP-0196,NAM,Tier 3,45.6,9.5,4.24,7.31
SUP-0197,NAM,Tier 2,58.2,17.4,4.8,5.86
SUP-0198,EMEA,Tier 2,36.6,92.9,0.87,0.0
SUP-0199,EMEA,Tier 2,85.0,46.3,3.45,0.0
SUP-0200,APAC,Tier 3,67.1,31.4,8.26,33.01
SUP-0201,LATAM,Tier 1,59.7,10.4,4.95,6.72
SUP-0202,NAM,Tier 3,56.6,13.9,0.0,0.0
SUP-0203,APAC,Tier 3,49.8,11.0,2.91,11.74
SUP-0204,EMEA,Tier 1,69.3,10.4,4.75,0.0
SUP-0205,EMEA,Tier 2,58.8,10.7,6.8,13.23
SUP-0206,NAM,Tier 1,65.2,42.2,8.15,4.03
SUP-0207,LATAM,Tier 2,74.5,7.4,4.86,2.75
SUP-0208,APAC,Tier 3,56.0,12.6,5.34,15.47
SUP-0209,NAM,Tier 3,45.1,72.1,5.83,15.94
SUP-0210,APAC,Tier 2,86.3,8.0,5.22,0.0
SUP-0211,EMEA,Tier 3,54.7,7.0,2.55,8.42
SUP-0212,LATAM,Tier 1,83.1,62.9,5.99,0.0
SUP-0213,EMEA,Tier 3,75.1,21.9,6.01,12.4
SUP-0214,NAM,Tier 3,69.5,7.3,1.71,0.0
SUP-0215,EMEA,Tier 3,41.2,31.8,3.31,8.82
SUP-0216,APAC,Tier 3,54.0,37.0,6.9,32.99
SUP-0217,NAM,Tier 2,51.1,5.1,1.81,0.0
SUP-0218,APAC,Tier 3,30.1,10.4,1.19,0.0
SUP-0219,NAM,Tier 3,36.0,27.1,2.62,14.77
SUP-0220,APAC,Tier 3,20.0,5.5,10.0,52.18
SUP-0221,APAC,Tier 3,22.0,20.3,8.27,48.21
SUP-0222,EMEA,Tier 3,56.4,10.6,4.36,4.94
SUP-0223,NAM,Tier 2,63.3,10.9,2.02,0.0
SUP-0224,EMEA,Tier 2,68.8,30.2,0.66,0.0
SUP-0225,NAM,Tier 1,46.2,27.9,4.21,0.0
SUP-0226,EMEA,Tier 1,46.1,70.9,4.68,4.77
SUP-0227,APAC,Tier 1,68.9,25.1,5.74,2.72
SUP-0228,EMEA,Tier 3,34.5,23.9,2.47,8.6
SUP-0229,LATAM,Tier 2,50.5,10.4,3.56,8.54
SUP-0230,EMEA,Tier 2,44.9,24.6,4.36,14.67
SUP-0231,NAM,Tier 3,26.4,44.7,3.63,9.53
SUP-0232,NAM,Tier 3,59.5,10.3,8.42,32.42
SUP-0233,APAC,Tier 3,20.0,7.9,3.89,29.31
SUP-0234,APAC,Tier 3,53.5,11.4,8.76,34.22
SUP-0235,APAC,Tier 1,59.3,19.6,5.97,0.0
SUP-0236,LATAM,Tier 3,20.0,13.1,5.75,33.59
SUP-0237,EMEA,Tier 2,84.2,6.2,4.92,0.0
SUP-0238,NAM,Tier 3,47.5,7.0,1.17,3.1
SUP-0239,APAC,Tier 3,40.4,36.7,3.32,7.59
SUP-0240,LATAM,Tier 3,63.2,19.7,5.28,10.11
SUP-0241,EMEA,Tier 1,73.4,40.0,5.22,0.0
SUP-0242,NAM,Tier 2,43.2,6.8,1.34,0.0
SUP-0243,APAC,Tier 2,65.6,16.9,6.28,24.5
SUP-0244,LATAM,Tier 2,56.2,14.6,4.8,10.18
SUP-0245,APAC,Tier 1,79.0,15.3,6.57,0.0
SUP-0246,APAC,Tier 3,61.3,7.8,6.45,36.35
SUP-0247,EMEA,Tier 1,65.5,19.0,1.67,0.0
SUP-0248,APAC,Tier 1,70.8,72.5,6.56,0.0
SUP-0249,APAC,Tier 2,45.3,7.2,3.08,7.51
SUP-0250,EMEA,Tier 3,41.8,6.2,6.78,18.68
SUP-0251,NAM,Tier 2,48.8,7.1,3.22,1.75
SUP-0252,APAC,Tier 3,51.6,12.3,7.88,37.48
SUP-0253,APAC,Tier 1,100.0,48.5,2.77,0.0
